,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Dec'13,0,0,3,2,6,5,427,406,436,413
Jan'14,2,1,2,2,7,7,866,835,877,845
Feb'14,2,3,2,3,5,6,414,516,423,528
Mar'14,3,3,1,2,15,12,526,554,545,571
Apr'14,2,2,1,1,21,21,561,745,585,769
May'14,2,1,2,2,33,38,292,435,329,476
Jun'14,0,1,2,1,23,21,300,317,325,340
Jul'14,3,3,19,15,30,26,313,515,365,559
Aug'14,0,0,4,8,27,33,257,389,288,430
Sept'14,1,0,8,5,23,19,250,285,282,309
TOTALS,15,14,44,41,190,188,4206,4997,4455,5240
