Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Dec13,436,389,89.2,23,5.3,10,2.3,14,3.2,0,0
Jan14,877,824,94.0,20,2.3,10,1.1,23,2.6,0,0
Feb14,423,393,92.9,19,4.5,6,1.4,5,1.2,0,0
Mar14,545,489,89.7,46,8.4,4,0.7,6,1.1,0,0
Apr14,585,561,95.9,15,2.6,6,1.0,3,0.5,0,0
May14,329,312,94.8,9,2.7,3,0.9,4,1.2,1,0.3
Jun14,325,288,88.6,31,9.5,4,1.2,0,0,2,0.6
Jul14,365,343,94.0,19,5.2,3,0.8,0,0,0,0
Aug14,288,266,92.4,16,5.6,0,0,0,0,6,2.1
Sept14,282,252,89.4,5,1.8,0,0,0,0,25,8.9
TOTALS,4455,4117,92.4,203,4.6,46,1.0,55,1.2,34,0.8

