Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
13-Mar,443,404,91.2,20,4.5,3,0.7,14,3.2,2,0.5
13-Apr,536,474,88.4,31,5.8,13,2.4,17,3.2,1,0.2
13-May,416,379,91.1,25,6,6,1.4,4,1,2,0.5
13-Jun,403,373,92.6,18,4.5,7,1.7,4,1,1,0.2
13-Jul,482,450,93.4,14,2.9,10,2.1,6,1.2,2,0.4
13-Aug,605,579,95.7,15,2.5,6,1,1,0.2,4,0.7
13-Sep,369,346,93.8,19,5.1,0,0,0,0,4,1.1
13-Oct,418,400,95.7,10,2.4,2,0.5,0,0,6,1.4
13-Nov,436,421,96.6,2,0.5,0,0,0,0,13,3
13-Dec,436,376,86.2,1,0.2,0,0,0,0,59,13.5
TOTALS,4544,4202,92.5,155,3.4,47,1,46,1,94,2.1
