,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jun'13,2,2,1,2,7,7,393,400,403,411
Jul'13,3,3,3,2,14,15,462,464,482,484
Aug'13,0,0,0,0,8,11,597,620,605,631
Sept'13,0,0,5,4,6,7,358,390,369,401
Oct'13,2,2,7,7,12,6,397,429,418,444
Nov'13,9,9,2,3,5,5,420,411,436,428
Dec'13,0,0,3,2,6,5,427,419,436,426
Jan'14,2,1,2,2,7,7,866,853,877,863
Feb'14,2,3,2,3,5,6,414,521,423,533
Mar'14,3,3,1,2,16,12,525,577,545,594
TOTALS,23,23,26,27,86,81,4859,5084,4994,5215
