Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jun13,403,372,92.3,18,4.5,7,1.7,6,1.5,0,0
Jul13,482,449,93.2,14,2.9,10,2.1,9,1.9,0,0
Aug13,605,573,94.7,15,2.5,6,1.0,11,1.8,0,0
Sept13,369,345,93.5,19,5.1,0,0,5,1.4,0,0
Oct13,418,399,95.5,10,2.4,3,0.7,5,1.2,1,0.2
Nov13,436,418,95.9,2,0.5,4,0.9,8,1.8,4,0.9
Dec13,436,402,92.2,23,5.3,10,2.3,1,0.2,0,0
Jan14,877,842,96.0,20,2.3,4,0.5,5,0.6,6,0.7
Feb14,423,397,93.9,19,4.5,1,0.2,0,0,6,1.4
Mar14,545,507,93.0,14,2.6,0,0,0,0,24,4.4
TOTALS,4994,4704,94.2,154,3.1,45,0.9,50,1.0,41,0.8

