,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Sept'15,1,1,4,4,25,22,256,359,286,386
Oct'15,2,2,43,31,38,36,255,338,338,407
Nov'15,0,0,3,14,68,42,280,315,351,371
Dec'15,1,1,4,3,25,34,393,446,423,484
Jan'16,3,3,13,3,26,20,275,291,317,317
Feb'16,0,0,7,15,31,45,284,478,322,538
Mar'16,2,2,7,8,33,31,435,454,477,495
Apr'16,0,0,3,0,36,27,393,409,432,436
May'16,0,0,3,4,32,32,444,474,479,510
Jun'16,1,1,7,2,21,19,339,348,368,370
TOTALS,10,10,94,84,335,308,3354,3912,3793,4314
