Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jul13,482,449,93.2,14,2.9,10,2.1,9,1.9,0,0
Aug13,605,573,94.7,15,2.5,6,1.0,11,1.8,0,0
Sept13,369,345,93.5,19,5.1,0,0,5,1.4,0,0
Oct13,418,394,94.3,10,2.4,3,0.7,9,2.2,2,0.5
Nov13,436,418,95.9,2,0.5,4,0.9,10,2.3,2,0.5
Dec13,436,389,89.2,23,5.3,10,2.3,14,3.2,0,0
Jan14,877,827,94.3,20,2.3,10,1.1,15,1.7,5,0.6
Feb14,423,394,93.1,19,4.5,6,1.4,0,0,4,0.9
Mar14,545,490,89.9,44,8.1,0,0,0,0,11,2.0
Apr14,585,539,92.1,0,0,0,0,0,0,46,7.9
TOTALS,5176,4818,93.1,166,3.2,49,0.9,73,1.4,70,1.4

