,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Nov'15,0,0,3,14,68,42,280,314,351,370
Dec'15,1,1,4,3,25,34,393,446,423,484
Jan'16,3,3,13,3,26,20,275,289,317,315
Feb'16,0,0,7,15,31,45,284,473,322,533
Mar'16,2,2,7,8,33,31,435,454,477,495
Apr'16,0,0,3,0,36,27,393,409,432,436
May'16,0,0,3,4,32,31,444,471,479,506
Jun'16,1,1,7,2,21,19,339,347,368,369
Jul'16,1,1,3,4,42,32,275,287,321,324
Aug'16,0,0,1,1,17,16,323,367,341,384
TOTALS,8,8,51,54,331,297,3441,3857,3831,4216
