,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Mar',2,2,5,4,17,16,131,120,155,142
Apr',1,1,6,5,8,14,126,111,141,131
May',2,2,6,7,11,9,158,168,177,186
Jun',0,0,4,3,10,15,121,126,135,144
Jul',2,2,5,5,7,7,103,112,117,126
Aug',0,0,8,10,6,5,178,155,192,170
Sept',2,2,3,3,9,8,115,115,129,128
Oct',3,3,5,1,10,12,110,123,128,139
Nov',3,2,6,7,14,13,86,100,109,122
Dec',2,3,11,8,6,5,89,86,108,102
TOTALS,17,17,59,53,98,104,1217,1216,1391,1390
