Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Aug13,605,573,94.7,15,2.5,6,1.0,11,1.8,0,0
Sept13,369,345,93.5,19,5.1,0,0,5,1.4,0,0
Oct13,418,394,94.3,10,2.4,3,0.7,11,2.6,0,0
Nov13,436,417,95.6,2,0.5,4,0.9,12,2.8,1,0.2
Dec13,436,389,89.2,23,5.3,10,2.3,14,3.2,0,0
Jan14,877,826,94.2,20,2.3,10,1.1,19,2.2,2,0.2
Feb14,423,394,93.1,19,4.5,6,1.4,0,0,4,0.9
Mar14,545,490,89.9,46,8.4,4,0.7,0,0,5,0.9
Apr14,585,562,96.1,14,2.4,0,0,0,0,9,1.5
May14,329,296,90.0,0,0,0,0,0,0,33,10.0
TOTALS,5023,4686,93.3,168,3.3,43,0.9,72,1.4,54,1.1

