,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jan',2,1,1,1,17,17,251,276,271,295
Feb',4,3,0,0,29,30,377,488,410,521
Mar',1,1,7,2,31,20,424,433,463,456
Apr',2,2,0,2,27,24,382,418,411,446
May',2,4,4,8,19,29,429,506,454,547
Jun',2,2,4,2,19,22,380,428,405,454
Jul',1,1,1,3,24,30,291,750,317,784
Aug',0,0,1,1,26,28,253,400,280,429
Sept',1,1,4,4,25,22,256,363,286,390
Oct',2,2,43,31,38,38,255,340,338,411
TOTALS,17,17,65,54,255,260,3298,4402,3635,4733
