,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jan',2,2,5,11,7,13,122,116,136,142
Feb',2,2,4,3,8,8,177,163,191,176
Mar',6,6,7,5,6,5,142,150,161,166
Apr',2,2,8,10,14,12,137,135,161,159
May',2,2,6,5,8,8,90,95,106,110
Jun',1,1,1,0,9,10,141,154,152,165
Jul',2,2,6,4,9,7,111,101,128,114
Aug',0,0,4,4,7,11,156,123,167,138
Sept',3,3,2,7,14,12,110,98,129,120
Oct',2,2,6,6,10,11,168,176,186,195
TOTALS,22,22,49,55,92,97,1354,1311,1517,1485
