,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
May'12,2,2,6,5,8,8,90,95,106,110
Jun'12,1,1,1,0,9,10,141,154,152,165
Jul'12,2,2,6,4,9,7,111,101,128,114
Aug'12,0,0,4,4,7,11,156,123,167,138
Sept'12,3,3,2,7,14,12,110,98,129,120
Oct'12,2,2,6,6,11,11,167,175,186,194
Nov'12,2,1,2,2,7,8,141,139,152,150
Dec'12,2,3,2,2,9,10,174,148,187,163
Jan'13,2,2,4,4,17,13,252,247,275,266
Feb'13,2,2,3,1,13,14,420,410,438,427
TOTALS,18,18,36,35,104,104,1762,1690,1920,1847
