Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
12-May,106,88,83,12,11.3,4,3.8,2,1.9,0,0
12-Jun,152,136,89.5,10,6.6,3,2,3,2,0,0
12-Jul,128,104,81.2,10,7.8,4,3.1,7,5.5,3,2.3
12-Aug,167,121,72.5,22,13.2,12,7.2,7,4.2,5,3
12-Sep,129,110,85.3,9,7,6,4.7,3,2.3,1,0.8
12-Oct,186,153,82.3,18,9.7,9,4.8,2,1.1,4,2.2
12-Nov,152,120,78.9,13,8.6,8,5.3,3,2,8,5.3
12-Dec,187,149,79.7,25,13.4,2,1.1,0,0,11,5.9
13-Jan,275,243,88.4,17,6.2,0,0,0,0,15,5.5
13-Feb,438,346,79,0,0,0,0,0,0,92,21
TOTALS,1920,1570,81.8,136,7.1,48,2.5,27,1.4,139,7.2
