Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
11-Aug,192,160,83.3,19,9.9,6,3.1,7,3.6,0,0
11-Sep,129,110,85.3,12,9.3,4,3.1,3,2.3,0,0
11-Oct,128,104,81.2,11,8.6,6,4.7,7,5.5,0,0
11-Nov,109,100,91.7,8,7.3,0,0,1,0.9,0,0
11-Dec,108,92,85.2,8,7.4,7,6.5,0,0,1,0.9
12-Jan,136,113,83.1,17,12.5,3,2.2,0,0,3,2.2
12-Feb,191,156,81.7,18,9.4,3,1.6,0,0,14,7.3
12-Mar,161,141,87.6,11,6.8,2,1.2,0,0,7,4.3
12-Apr,161,141,87.6,9,5.6,0,0,0,0,11,6.8
12-May,106,67,63.2,0,0,0,0,0,0,39,36.8
TOTALS,1421,1184,83.3,113,8,31,2.2,18,1.3,75,5.3
