Date,Received,< 1 Day,< 1 Day,1 - 7 Days,1 - 7 Days,8 - 14 Days,8 - 14 Days,15 - 21 Days,15 - 21 Days,> 21 Days,> 21 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
May14,329,149,45.3,100,30.4,31,9.4,22,6.7,26,7.9,1,0.3
Jun14,325,149,45.8,92,28.3,22,6.8,14,4.3,47,14.5,1,0.3
Jul14,365,157,43.0,84,23.0,51,14.0,31,8.5,41,11.2,1,0.3
Aug14,288,150,52.1,78,27.1,22,7.6,9,3.1,27,9.4,2,0.7
Sept14,282,138,48.9,78,27.7,20,7.1,17,6.0,27,9.6,2,0.7
Oct14,469,262,55.9,120,25.6,29,6.2,24,5.1,33,7.0,1,0.2
Nov14,338,194,57.4,76,22.5,21,6.2,10,3.0,33,9.8,4,1.2
Dec14,282,148,52.5,76,27.0,9,3.2,14,5.0,31,11.0,4,1.4
Jan15,271,135,49.8,69,25.5,15,5.5,15,5.5,23,8.5,14,5.2
Feb15,410,264,64.4,73,17.8,20,4.9,7,1.7,6,1.5,40,9.8
TOTALS,3359,1746,52.0,846,25.2,240,7.1,163,4.9,294,8.8,70,2.1

