,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Dec'15,1,1,4,3,25,34,393,446,423,484
Jan'16,3,3,13,3,26,20,275,289,317,315
Feb'16,0,0,7,15,31,45,284,473,322,533
Mar'16,2,2,7,8,33,31,435,454,477,495
Apr'16,0,0,3,0,36,27,393,409,432,436
May'16,0,0,3,4,32,31,444,471,479,506
Jun'16,1,1,7,2,21,19,339,347,368,369
Jul'16,1,1,3,4,42,32,275,287,321,324
Aug'16,0,0,1,1,17,16,323,367,341,384
Sept'16,1,1,4,6,27,37,263,306,295,350
TOTALS,9,9,52,46,290,292,3424,3849,3775,4196
