,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Aug'12,0,0,4,4,7,11,156,121,167,136
Sept'12,3,3,2,7,14,12,110,98,129,120
Oct'12,2,2,6,6,10,11,168,174,186,193
Nov'12,2,1,2,2,7,8,141,139,152,150
Dec'12,2,3,2,2,9,9,174,149,187,163
Jan'13,2,2,4,4,17,13,252,246,275,265
Feb'13,2,2,3,1,14,14,419,406,438,423
Mar'13,0,0,3,4,12,13,428,423,443,440
Apr'13,2,2,4,5,13,12,517,496,536,515
May'13,0,0,1,1,7,6,408,440,416,447
TOTALS,15,15,31,36,110,109,2773,2692,2929,2852
