Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Feb11,138,110,79.7,14,10.1,7,5.1,4,2.9,3,2.2
Mar11,155,133,85.8,10,6.5,8,5.2,2,1.3,2,1.3
Apr11,141,125,88.7,12,8.5,2,1.4,1,0.7,1,0.7
May11,177,152,85.9,16,9.0,4,2.3,4,2.3,1,0.6
Jun11,135,112,83.0,13,9.6,2,1.5,4,3.0,4,3.0
Jul11,117,98,83.8,7,6.0,5,4.3,2,1.7,5,4.3
Aug11,192,161,83.9,19,9.9,6,3.1,1,0.5,5,2.6
Sept11,129,110,85.3,12,9.3,1,0.8,0,0,6,4.7
Oct11,128,104,81.2,7,5.5,0,0,0,0,17,13.3
Nov11,109,86,78.9,0,0,0,0,0,0,23,21.1
TOTALS,1421,1191,83.8,110,7.7,35,2.5,18,1.3,67,4.7

