,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Feb',2,1,6,5,24,23,106,107,138,136
Mar',2,2,5,4,17,16,131,120,155,142
Apr',1,1,6,5,8,14,126,111,141,131
May',2,2,6,7,11,9,158,168,177,186
Jun',0,0,4,3,10,15,121,126,135,144
Jul',2,2,5,5,7,7,103,112,117,126
Aug',0,0,8,10,6,5,178,156,192,171
Sept',2,2,3,3,9,8,115,115,129,128
Oct',3,3,5,1,10,12,110,123,128,139
Nov',3,2,6,7,14,13,86,100,109,122
TOTALS,17,15,54,50,116,122,1234,1238,1421,1425
