Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Apr13,536,473,88.2,31,5.8,13,2.4,18,3.4,1,0.2
May13,416,379,91.1,25,6.0,6,1.4,4,1.0,2,0.5
Jun13,403,373,92.6,18,4.5,7,1.7,4,1.0,1,0.2
Jul13,482,450,93.4,14,2.9,10,2.1,6,1.2,2,0.4
Aug13,605,578,95.5,15,2.5,6,1.0,3,0.5,3,0.5
Sept13,369,346,93.8,19,5.1,0,0,1,0.3,3,0.8
Oct13,418,400,95.7,10,2.4,3,0.7,1,0.2,4,1.0
Nov13,436,418,95.9,2,0.5,1,0.2,0,0,15,3.4
Dec13,436,403,92.4,20,4.6,0,0,0,0,13,3.0
Jan14,877,812,92.6,0,0,0,0,0,0,65,7.4
TOTALS,4978,4632,93.0,154,3.1,46,0.9,37,0.7,109,2.2

