,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Apr'13,2,2,4,5,13,12,517,492,536,511
May'13,0,0,1,1,7,6,408,433,416,440
Jun'13,2,2,1,2,7,7,393,401,403,412
Jul'13,3,3,3,2,14,15,462,465,482,485
Aug'13,0,0,0,0,8,11,597,624,605,635
Sept'13,0,0,5,4,6,7,358,391,369,402
Oct'13,2,2,7,7,12,6,397,430,418,445
Nov'13,9,9,2,3,5,5,420,411,436,428
Dec'13,0,0,3,2,6,5,427,421,436,428
Jan'14,2,1,2,2,7,8,866,857,877,868
TOTALS,20,19,28,28,85,82,4845,4925,4978,5054
