,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Apr'15,2,2,0,2,27,24,382,418,411,446
May'15,2,4,4,8,19,29,429,506,454,547
Jun'15,2,2,4,2,19,22,380,428,405,454
Jul'15,1,1,1,3,24,30,291,743,317,777
Aug'15,0,0,1,1,26,28,253,399,280,428
Sept'15,1,1,4,4,25,22,256,361,286,388
Oct'15,2,2,43,31,38,37,255,340,338,410
Nov'15,0,0,3,14,68,42,280,316,351,372
Dec'15,1,1,4,3,25,34,393,447,423,485
Jan'16,3,3,13,3,25,23,276,299,317,328
TOTALS,14,16,77,71,296,291,3195,4257,3582,4635
