Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jun11,135,112,83.0,13,9.6,2,1.5,8,5.9,0,0
Jul11,117,98,83.8,7,6.0,5,4.3,6,5.1,1,0.9
Aug11,192,160,83.3,19,9.9,6,3.1,7,3.6,0,0
Sept11,129,110,85.3,12,9.3,4,3.1,3,2.3,0,0
Oct11,128,104,81.2,11,8.6,6,4.7,4,3.1,3,2.3
Nov11,109,100,91.7,8,7.3,0,0,1,0.9,0,0
Dec11,108,92,85.2,8,7.4,7,6.5,0,0,1,0.9
Jan12,136,113,83.1,17,12.5,1,0.7,0,0,5,3.7
Feb12,191,157,82.2,10,5.2,0,0,0,0,24,12.6
Mar12,161,120,74.5,0,0,0,0,0,0,41,25.5
TOTALS,1406,1166,82.9,105,7.5,31,2.2,29,2.1,75,5.3

