,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jun'15,2,2,4,2,19,22,380,426,405,452
Jul'15,1,1,1,3,24,30,291,629,317,663
Aug'15,0,0,1,1,26,28,253,397,280,426
Sept'15,1,1,4,4,25,22,256,360,286,387
Oct'15,2,2,43,31,38,36,255,339,338,408
Nov'15,0,0,3,14,68,42,280,315,351,371
Dec'15,1,1,4,3,25,34,393,446,423,484
Jan'16,3,3,13,3,26,20,275,295,317,321
Feb'16,0,0,7,15,31,45,284,481,322,541
Mar'16,2,2,7,8,33,31,435,458,477,499
TOTALS,12,12,87,84,315,310,3102,4146,3516,4552
