,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Nov'12,0,0,0,0,0,0,15,13,15,13
Dec'12,2,3,2,2,9,9,174,149,187,163
Jan'13,2,2,4,4,17,13,252,246,275,265
Feb'13,2,2,3,1,14,14,419,404,438,421
Mar'13,0,0,3,4,12,13,428,421,443,438
Apr'13,2,2,4,5,13,12,517,495,536,514
May'13,0,0,1,1,7,6,408,438,416,445
Jun'13,2,2,1,2,7,7,393,402,403,413
Jul'13,3,3,3,2,14,15,462,465,482,485
Aug'13,0,0,0,0,8,11,597,627,605,638
TOTALS,13,14,21,21,101,100,3665,3660,3800,3795
