,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Mar',3,3,1,2,15,12,526,554,545,571
Apr',2,2,1,1,21,21,561,745,585,769
May',2,1,2,2,33,38,292,435,329,476
Jun',0,1,2,1,23,21,300,317,325,340
Jul',3,3,19,15,30,26,313,510,365,554
Aug',0,0,4,8,27,33,257,389,288,430
Sept',1,0,8,5,21,19,252,285,282,309
Oct',2,2,2,4,44,38,421,529,469,573
Nov',2,3,1,1,25,27,310,330,338,361
Dec',2,2,2,2,24,20,254,367,282,391
TOTALS,17,17,42,41,263,255,3486,4461,3808,4774
