,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Apr'12,2,2,8,10,14,12,137,135,161,159
May'12,2,2,6,5,8,8,90,95,106,110
Jun'12,1,1,1,0,9,10,141,154,152,165
Jul'12,2,2,6,4,9,7,111,101,128,114
Aug'12,0,0,4,4,7,11,156,123,167,138
Sept'12,3,3,2,7,14,12,110,98,129,120
Oct'12,2,2,6,6,11,11,167,175,186,194
Nov'12,2,1,2,2,7,8,141,139,152,150
Dec'12,2,3,2,2,9,10,174,148,187,163
Jan'13,2,2,4,4,17,13,252,248,275,267
TOTALS,18,18,41,44,105,102,1479,1416,1643,1580
