Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Nov11,109,100,91.7,8,7.3,0,0,1,0.9,0,0
Dec11,108,92,85.2,8,7.4,7,6.5,1,0.9,0,0
Jan12,136,113,83.1,16,11.8,3,2.2,4,2.9,0,0
Feb12,191,156,81.7,18,9.4,3,1.6,12,6.3,2,1.0
Mar12,161,141,87.6,11,6.8,2,1.2,6,3.7,1,0.6
Apr12,161,141,87.6,10,6.2,4,2.5,5,3.1,1,0.6
May12,106,88,83.0,12,11.3,4,3.8,1,0.9,1,0.9
Jun12,152,136,89.5,10,6.6,2,1.3,1,0.7,3,2.0
Jul12,128,104,81.2,6,4.7,0,0,0,0,18,14.1
Aug12,167,103,61.7,0,0,0,0,0,0,64,38.3
TOTALS,1419,1174,82.7,99,7.0,25,1.8,31,2.2,90,6.3

