,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Feb',2,3,2,3,5,6,414,506,423,518
Mar',3,3,1,2,15,12,526,554,545,571
Apr',2,2,1,1,21,21,561,745,585,769
May',2,1,2,2,33,38,292,435,329,476
Jun',0,1,2,1,23,21,300,317,325,340
Jul',3,3,19,15,30,26,313,513,365,557
Aug',0,0,4,8,27,33,257,389,288,430
Sept',1,0,8,5,22,19,251,285,282,309
Oct',2,2,2,4,44,38,421,534,469,578
Nov',2,3,1,1,25,27,310,332,338,363
TOTALS,17,18,42,42,245,241,3645,4610,3949,4911
