,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Oct'13,2,2,7,7,12,6,397,422,418,437
Nov'13,9,9,2,3,5,5,420,410,436,427
Dec'13,0,0,3,2,6,5,427,406,436,413
Jan'14,2,1,2,2,7,7,866,835,877,845
Feb'14,2,3,2,3,5,6,414,516,423,528
Mar'14,3,3,1,2,15,12,526,556,545,573
Apr'14,2,2,1,1,21,21,561,745,585,769
May'14,2,1,2,2,33,38,292,438,329,479
Jun'14,0,1,2,1,23,21,300,318,325,341
Jul'14,0,0,0,0,0,1,4,15,4,16
TOTALS,22,22,22,23,127,122,4207,4661,4378,4828
