Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Oct13,418,394,94.3,10,2.4,3,0.7,11,2.6,0,0
Nov13,436,417,95.6,2,0.5,4,0.9,13,3.0,0,0
Dec13,436,389,89.2,23,5.3,10,2.3,14,3.2,0,0
Jan14,877,824,94.0,20,2.3,10,1.1,22,2.5,1,0.1
Feb14,423,393,92.9,19,4.5,6,1.4,4,0.9,1,0.2
Mar14,545,489,89.7,46,8.4,4,0.7,3,0.6,3,0.6
Apr14,585,561,95.9,15,2.6,6,1.0,2,0.3,1,0.2
May14,329,313,95.1,9,2.7,3,0.9,1,0.3,3,0.9
Jun14,325,288,88.6,28,8.6,1,0.3,0,0,8,2.5
Jul14,4,4,100.0,0,0,0,0,0,0,0,0
TOTALS,4378,4072,93.0,172,3.9,47,1.1,70,1.6,17,0.4

