Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Dec10,106,83,78.3,14,13.2,6,5.7,2,1.9,1,0.9
Jan11,129,114,88.4,11,8.5,1,0.8,3,2.3,0,0
Feb11,138,110,79.7,14,10.1,7,5.1,4,2.9,3,2.2
Mar11,155,133,85.8,10,6.5,8,5.2,0,0,4,2.6
Apr11,141,125,88.7,12,8.5,2,1.4,0,0,2,1.4
May11,177,152,85.9,16,9.0,4,2.3,2,1.1,3,1.7
Jun11,135,112,83.0,13,9.6,2,1.5,2,1.5,6,4.4
Jul11,117,98,83.8,7,6.0,3,2.6,0,0,9,7.7
Aug11,192,161,83.9,15,7.8,1,0.5,0,0,15,7.8
Sept11,129,82,63.6,0,0,0,0,0,0,47,36.4
Oct11,10,4,40.0,0,0,0,0,0,0,6,60.0
TOTALS,1429,1174,82.2,112,7.8,34,2.4,13,0.9,96,6.7

