Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Apr16,432,399,92.4,11,2.5,0,0,11,2.5,11,2.5
May16,479,439,91.6,15,3.1,1,0.2,7,1.5,17,3.5
Jun16,368,322,87.5,17,4.6,6,1.6,11,3.0,12,3.3
Jul16,321,292,91.0,15,4.7,4,1.2,1,0.3,9,2.8
Aug16,341,319,93.5,9,2.6,3,0.9,1,0.3,9,2.6
Sept16,295,270,91.5,9,3.1,4,1.4,1,0.3,11,3.7
Oct16,321,295,91.9,9,2.8,2,0.6,0,0,15,4.7
Nov16,300,265,88.3,17,5.7,2,0.7,1,0.3,15,5.0
Dec16,214,193,90.2,10,4.7,0,0,0,0,11,5.1
Jan17,307,281,91.5,2,0.7,0,0,0,0,24,7.8
TOTALS,3378,3075,91.0,114,3.4,22,0.7,33,1.0,134,4.0

