,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Apr'16,0,0,3,0,36,27,393,409,432,436
May'16,0,0,3,4,32,31,444,469,479,504
Jun'16,1,1,7,2,21,19,339,345,368,367
Jul'16,1,1,3,4,42,32,275,287,321,324
Aug'16,0,0,0,1,17,16,324,366,341,383
Sept'16,1,1,4,6,27,36,263,304,295,347
Oct'16,0,0,2,3,19,18,300,309,321,330
Nov'16,2,1,3,3,27,26,268,282,300,312
Dec'16,1,2,13,9,20,19,180,211,214,241
Jan'17,2,2,5,6,19,18,281,310,307,336
TOTALS,8,8,43,38,260,242,3067,3292,3378,3580
