,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jun'12,1,1,1,0,9,10,141,154,152,165
Jul'12,2,2,6,4,9,7,111,101,128,114
Aug'12,0,0,4,4,7,11,156,123,167,138
Sept'12,3,3,2,7,14,12,110,98,129,120
Oct'12,2,2,6,6,11,11,167,175,186,194
Nov'12,2,1,2,2,7,8,141,139,152,150
Dec'12,2,3,2,2,9,10,174,148,187,163
Jan'13,2,2,4,4,17,13,252,246,275,265
Feb'13,2,2,3,1,14,14,419,407,438,424
Mar'13,0,0,3,4,13,13,427,425,443,442
TOTALS,16,16,33,34,110,109,2098,2016,2257,2175
