,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Oct'12,2,2,6,6,10,11,168,173,186,192
Nov'12,2,1,2,2,7,8,141,139,152,150
Dec'12,2,3,2,2,9,9,174,149,187,163
Jan'13,2,2,4,4,17,13,252,246,275,265
Feb'13,2,2,3,1,14,14,419,405,438,422
Mar'13,0,0,3,4,12,13,428,422,443,439
Apr'13,2,2,4,5,13,12,517,495,536,514
May'13,0,0,1,1,7,6,408,438,416,445
Jun'13,2,2,1,2,7,7,393,404,403,415
Jul'13,3,3,3,2,14,15,462,465,482,485
TOTALS,17,17,29,29,110,108,3362,3336,3518,3490
