Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Oct12,186,153,82.3,18,9.7,9,4.8,5,2.7,1,0.5
Nov12,152,120,78.9,13,8.6,8,5.3,10,6.6,1,0.7
Dec12,187,149,79.7,23,12.3,4,2.1,11,5.9,0,0
Jan13,275,242,88.0,22,8.0,7,2.5,3,1.1,1,0.4
Feb13,438,390,89.0,28,6.4,14,3.2,3,0.7,3,0.7
Mar13,443,408,92.1,20,4.5,3,0.7,7,1.6,5,1.1
Apr13,536,476,88.8,31,5.8,13,2.4,0,0,16,3.0
May13,416,382,91.8,25,6.0,4,1.0,0,0,5,1.2
Jun13,403,376,93.3,5,1.2,0,0,0,0,22,5.5
Jul13,482,399,82.8,1,0.2,0,0,0,0,82,17.0
TOTALS,3518,3095,88.0,186,5.3,62,1.8,39,1.1,136,3.9

