,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Dec'12,2,3,2,2,9,9,174,148,187,162
Jan'13,2,2,4,4,17,13,252,245,275,264
Feb'13,2,2,3,1,14,14,419,403,438,420
Mar'13,0,0,3,4,13,13,427,417,443,434
Apr'13,2,2,4,5,13,12,517,494,536,513
May'13,0,0,1,1,7,6,408,436,416,443
Jun'13,2,2,1,2,7,7,393,402,403,413
Jul'13,3,3,3,2,14,15,462,465,482,485
Aug'13,0,0,0,0,8,11,597,626,605,637
Sept'13,0,0,5,4,6,7,358,393,369,404
TOTALS,13,14,26,25,108,107,4007,4029,4154,4175
