,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Dec'11,2,3,9,8,7,5,90,86,108,102
Jan'12,2,2,5,11,7,13,122,116,136,142
Feb'12,2,2,4,3,8,8,177,163,191,176
Mar'12,6,6,7,5,6,5,142,150,161,166
Apr'12,2,2,8,10,14,12,137,135,161,159
May'12,2,2,6,5,8,8,90,95,106,110
Jun'12,1,1,1,0,9,10,141,154,152,165
Jul'12,2,2,6,4,9,7,111,101,128,114
Aug'12,0,0,4,4,7,11,156,123,167,138
Sept'12,3,3,2,7,14,12,110,98,129,120
TOTALS,22,23,52,57,89,91,1276,1221,1439,1392
