Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Jan13,275,242,88.0,22,8.0,7,2.5,4,1.5,0,0
Feb13,438,386,88.1,28,6.4,13,3.0,10,2.3,1,0.2
Mar13,443,404,91.2,20,4.5,3,0.7,14,3.2,2,0.5
Apr13,536,474,88.4,31,5.8,13,2.4,15,2.8,3,0.6
May13,416,380,91.3,25,6.0,6,1.4,4,1.0,1,0.2
Jun13,403,374,92.8,18,4.5,7,1.7,4,1.0,0,0
Jul13,482,450,93.4,14,2.9,10,2.1,4,0.8,4,0.8
Aug13,605,579,95.7,15,2.5,5,0.8,0,0,6,1.0
Sept13,369,347,94.0,15,4.1,0,0,0,0,7,1.9
Oct13,418,388,92.8,0,0,0,0,0,0,30,7.2
TOTALS,4385,4024,91.8,188,4.3,64,1.5,55,1.3,54,1.2

