,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Feb',2,2,3,1,14,14,419,403,438,420
Mar',0,0,3,4,13,13,427,417,443,434
Apr',2,2,4,5,13,12,517,493,536,512
May',0,0,1,1,7,6,408,434,416,441
Jun',2,2,1,2,7,7,393,401,403,412
Jul',3,3,3,2,14,15,462,465,482,485
Aug',0,0,0,0,8,11,597,626,605,637
Sept',0,0,5,4,6,7,358,392,369,403
Oct',2,2,7,7,12,6,397,430,418,445
Nov',9,9,2,3,5,5,420,414,436,431
TOTALS,20,20,29,29,99,96,4398,4475,4546,4620
