,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Apr'11,1,1,6,5,8,14,126,111,141,131
May'11,2,2,6,7,11,9,158,168,177,186
Jun'11,0,0,4,3,10,15,121,126,135,144
Jul'11,2,2,5,5,7,7,103,112,117,126
Aug'11,0,0,8,10,6,5,178,155,192,170
Sept'11,2,2,3,3,9,8,115,115,129,128
Oct'11,3,3,5,1,10,12,110,123,128,139
Nov'11,3,2,6,7,14,13,86,100,109,122
Dec'11,2,3,9,8,7,5,90,86,108,102
Jan'12,2,2,5,11,7,13,122,117,136,143
TOTALS,17,17,57,60,89,101,1209,1213,1372,1391
