,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Sept'11,2,2,3,3,9,8,115,115,129,128
Oct'11,3,3,5,1,10,12,110,123,128,139
Nov'11,3,2,6,7,14,13,86,100,109,122
Dec'11,2,3,9,8,7,5,90,86,108,102
Jan'12,2,2,5,11,7,13,122,116,136,142
Feb'12,2,2,4,3,8,8,177,163,191,176
Mar'12,6,6,7,5,6,5,142,150,161,166
Apr'12,2,2,8,10,14,12,137,135,161,159
May'12,2,2,6,5,8,8,90,95,106,110
Jun'12,1,1,1,0,9,10,141,154,152,165
TOTALS,25,25,54,53,92,94,1210,1237,1381,1409
