Date,Received,0 - 30 Days,0 - 30 Days,30 - 60 Days,30 - 60 Days,60 - 90 Days,60 - 90 Days,> 90 Days,> 90 Days,Not Resolved,Not Resolved,
,,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,Resolved,% of Total,#,% of Total
Sept11,129,110,85.3,12,9.3,4,3.1,3,2.3,0,0
Oct11,128,104,81.2,11,8.6,6,4.7,7,5.5,0,0
Nov11,109,100,91.7,8,7.3,0,0,1,0.9,0,0
Dec11,108,92,85.2,8,7.4,7,6.5,0,0,1,0.9
Jan12,136,113,83.1,16,11.8,3,2.2,2,1.5,2,1.5
Feb12,191,156,81.7,18,9.4,3,1.6,3,1.6,11,5.8
Mar12,161,141,87.6,11,6.8,2,1.2,0,0,7,4.3
Apr12,161,141,87.6,10,6.2,4,2.5,0,0,6,3.7
May12,106,88,83.0,10,9.4,0,0,0,0,8,7.5
Jun12,152,127,83.6,0,0,0,0,0,0,25,16.4
TOTALS,1381,1172,84.9,104,7.5,29,2.1,16,1.2,60,4.3

