,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Sept'14,1,0,8,5,21,19,252,284,282,308
Oct'14,2,2,2,4,44,38,421,528,469,572
Nov'14,2,3,1,1,25,27,310,327,338,358
Dec'14,2,2,2,2,24,20,254,363,282,387
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,3,0,0,29,30,377,492,410,525
Mar'15,1,1,7,2,31,20,424,435,463,458
Apr'15,2,2,0,2,27,24,382,419,411,447
May'15,2,4,4,8,19,29,429,508,454,549
Jun'15,2,2,4,2,19,23,380,433,405,460
TOTALS,20,20,29,27,256,247,3480,4066,3785,4360
