,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jan',3,3,13,3,26,20,275,289,317,315
Feb',0,0,7,15,31,45,284,437,322,497
Mar',2,2,7,8,34,31,434,454,477,495
Apr',0,0,3,0,36,27,393,409,432,436
May',0,0,3,4,32,31,444,469,479,504
Jun',1,1,7,2,21,19,339,347,368,369
Jul',1,1,3,4,42,32,275,287,321,324
Aug',0,0,0,1,17,16,324,367,341,384
Sept',1,1,4,6,27,36,263,306,295,349
Oct',0,0,2,3,19,18,300,309,321,330
TOTALS,8,8,49,46,285,275,3331,3674,3673,4003
