,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Oct'14,2,2,2,4,44,38,421,525,469,569
Nov'14,2,3,1,1,25,27,310,327,338,358
Dec'14,2,2,2,2,24,20,254,362,282,386
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,3,0,0,29,30,377,491,410,524
Mar'15,1,1,7,2,31,20,424,435,463,458
Apr'15,2,2,0,2,27,24,382,419,411,447
May'15,2,4,4,8,19,29,429,507,454,548
Jun'15,2,2,4,2,19,22,380,431,405,457
Jul'15,1,1,1,3,24,31,291,764,317,799
TOTALS,20,21,22,25,259,258,3519,4538,3820,4842
