,Customer Impact 1-Critical,,Customer Impact 2-High,,Customer Impact 3-Elevated,,Customer Impact 4-Normal,,TOTAL,TOTAL
Month,Received,Closed,Received,Closed,Received,Closed,Received,Closed,Received,Closed
Jul'14,3,3,19,15,30,26,313,508,365,552
Aug'14,0,0,4,8,27,33,257,383,288,424
Sept'14,1,0,8,5,21,19,252,285,282,309
Oct'14,2,2,2,4,44,38,421,529,469,573
Nov'14,2,3,1,1,25,27,310,327,338,358
Dec'14,2,2,2,2,24,20,254,364,282,388
Jan'15,2,1,1,1,17,17,251,277,271,296
Feb'15,4,3,0,0,29,30,377,492,410,525
Mar'15,1,1,7,2,31,20,424,435,463,458
Apr'15,2,2,0,2,27,26,382,419,411,449
TOTALS,19,17,44,40,275,256,3241,4019,3579,4332
